Timestamp	Sample Time	AI0	AI1	AI2	AI3	AI4	AI5	AI6	AI7
07/09/2022 10:53:58.8	213.000	0.806	0.977	0.767	0.762	0.732	0.000	0.000	0.000
07/09/2022 10:53:59.8	214.000	0.791	0.859	0.703	0.762	0.840	0.000	0.000	0.000
07/09/2022 10:54:00.8	215.000	0.771	0.835	0.674	0.728	0.854	0.000	0.000	0.000
07/09/2022 10:54:01.8	216.000	0.820	0.806	0.771	0.786	0.679	0.000	0.000	0.000
07/09/2022 10:54:02.8	217.000	0.879	0.767	0.776	0.801	0.791	0.000	0.000	0.000
07/09/2022 10:54:03.8	218.000	0.791	0.811	0.698	0.771	0.869	0.000	0.000	0.000
07/09/2022 10:54:04.8	219.000	0.835	0.820	0.737	0.879	0.718	0.000	0.000	0.000
07/09/2022 10:54:05.8	220.000	0.806	0.840	0.742	0.771	0.806	0.000	0.000	0.000
07/09/2022 10:54:06.8	221.000	0.859	0.845	0.781	0.742	0.845	0.000	0.000	0.000
07/09/2022 10:54:07.8	222.000	0.859	0.859	0.771	0.723	0.806	0.000	0.000	0.000
07/09/2022 10:54:08.8	223.000	0.801	0.801	0.786	0.776	0.913	0.000	0.000	0.000
07/09/2022 10:54:09.8	224.000	0.840	0.825	0.723	0.781	0.820	0.000	0.000	0.000
07/09/2022 10:54:10.8	225.000	0.771	0.889	0.815	0.737	0.825	0.000	0.000	0.000
07/09/2022 10:54:11.8	226.000	0.815	0.933	0.874	0.801	0.845	0.000	0.000	0.000
07/09/2022 10:54:12.8	227.000	0.835	0.791	0.796	0.840	0.884	0.000	0.000	0.000
07/09/2022 10:54:13.8	228.000	0.854	0.908	0.757	0.747	0.801	0.000	0.000	0.000
07/09/2022 10:54:14.8	229.000	0.845	0.771	0.791	0.830	0.854	0.000	0.000	0.000
07/09/2022 10:54:15.8	230.000	0.879	0.908	0.820	0.776	0.830	0.000	0.000	0.000
07/09/2022 10:54:16.8	231.000	0.864	0.801	0.791	0.767	0.850	0.000	0.000	0.000
07/09/2022 10:54:17.8	232.000	0.840	0.693	0.747	0.723	0.854	0.000	0.000	0.000
07/09/2022 10:54:18.8	233.000	0.928	0.830	0.747	0.796	0.845	0.000	0.000	0.000
07/09/2022 10:54:19.8	234.000	0.806	0.859	0.757	0.776	0.879	0.000	0.000	0.000
07/09/2022 10:54:20.8	235.000	0.815	0.918	0.742	0.801	0.752	0.000	0.000	0.000
07/09/2022 10:54:21.8	236.000	0.801	0.806	0.728	0.752	0.859	0.000	0.000	0.000
07/09/2022 10:54:22.8	237.000	0.937	0.825	0.771	0.903	0.850	0.000	0.000	0.000
07/09/2022 10:54:23.8	238.000	0.786	0.762	0.767	0.791	0.718	0.000	0.000	0.000
07/09/2022 10:54:24.8	239.000	0.835	0.962	0.718	0.757	0.791	0.000	0.000	0.000
07/09/2022 10:54:25.8	240.000	0.820	0.850	0.742	0.781	0.986	0.000	0.000	0.000
07/09/2022 10:54:26.8	241.000	0.806	0.840	0.820	0.713	0.776	0.000	0.000	0.000
07/09/2022 10:54:27.8	242.000	0.815	0.835	0.767	0.693	0.874	0.000	0.000	0.000
07/09/2022 10:54:28.8	243.000	0.840	0.820	0.732	0.762	0.811	0.000	0.000	0.000
07/09/2022 10:54:29.8	244.000	0.937	0.825	0.728	0.806	0.835	0.000	0.000	0.000
07/09/2022 10:54:30.8	245.000	0.869	0.732	0.781	0.762	0.796	0.000	0.000	0.000
07/09/2022 10:54:31.8	246.000	0.845	0.977	0.811	0.757	0.850	0.000	0.000	0.000
07/09/2022 10:54:32.8	247.000	0.820	0.806	0.776	0.635	0.776	0.000	0.000	0.000
07/09/2022 10:54:33.8	248.000	0.825	0.825	0.771	0.762	0.776	0.000	0.000	0.000
07/09/2022 10:54:34.8	249.000	0.698	0.864	0.742	0.586	0.859	0.000	0.000	0.000
07/09/2022 10:54:35.8	250.000	0.859	0.859	0.732	0.767	0.713	0.000	0.000	0.000
07/09/2022 10:54:36.8	251.000	0.869	0.908	0.742	0.884	0.815	0.000	0.000	0.000
07/09/2022 10:54:37.8	252.000	0.806	0.840	0.703	0.762	0.688	0.000	0.000	0.000
07/09/2022 10:54:38.8	253.000	0.874	0.815	0.747	0.781	0.791	0.000	0.000	0.000
07/09/2022 10:54:39.8	254.000	0.781	0.879	0.737	0.937	0.874	0.000	0.000	0.000
07/09/2022 10:54:40.8	255.000	0.796	0.718	0.864	0.811	0.840	0.000	0.000	0.000
07/09/2022 10:54:41.8	256.000	0.801	0.913	0.732	0.786	0.796	0.000	0.000	0.000
07/09/2022 10:54:42.8	257.000	0.791	0.820	0.859	0.732	0.747	0.000	0.000	0.000
07/09/2022 10:54:43.8	258.000	0.815	0.845	0.757	0.737	0.835	0.000	0.000	0.000
07/09/2022 10:54:44.8	259.000	0.874	0.850	0.835	0.757	0.693	0.000	0.000	0.000
07/09/2022 10:54:45.8	260.000	0.752	0.957	0.771	0.781	0.796	0.000	0.000	0.000
07/09/2022 10:54:46.8	261.000	0.854	0.801	0.708	0.776	0.820	0.000	0.000	0.000
07/09/2022 10:54:47.8	262.000	0.850	0.786	0.742	0.791	0.791	0.000	0.000	0.000
07/09/2022 10:54:48.8	263.000	0.845	0.874	0.679	0.723	0.762	0.000	0.000	0.000
07/09/2022 10:54:49.8	264.000	0.845	0.752	0.767	0.718	0.850	0.000	0.000	0.000
07/09/2022 10:54:50.8	265.000	0.884	0.864	0.742	0.811	0.825	0.000	0.000	0.000
07/09/2022 10:54:51.8	266.000	0.854	0.845	0.942	0.747	0.820	0.000	0.000	0.000
07/09/2022 10:54:52.8	267.000	0.962	0.830	0.806	0.781	0.903	0.000	0.000	0.000
07/09/2022 10:54:53.8	268.000	0.703	0.894	0.767	0.781	0.698	0.000	0.000	0.000
07/09/2022 10:54:54.8	269.000	0.835	0.859	0.723	0.791	0.776	0.000	0.000	0.000
